GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,SOCIAL,19,14,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,DOMESTICO,20533,16023,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,COMERCIAL,1898,1127,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,INDUSTRIAL,115,106,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,SOCIAL,470,160,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,DOMESTICO,96803,94217,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,COMERCIAL,3843,3387,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,INDUSTRIAL,808,787,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,ATE,150103,ESTATAL,3,2,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,SOCIAL,7,4,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,DOMESTICO,3507,3317,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,COMERCIAL,23,23,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,INDUSTRIAL,2,2,2023,202304,20230505
